Chromosome,Start,End
chr1,997011,997182
chr1,999145,999316
chr1,1001258,1001429
chr1,1003370,1003541
chr1,1011960,1012131
chr1,1014074,1014245
chr1,1022672,1022843
chr1,1024784,1024955
chr1,1033413,1033584
chr1,994888,995059
chr1,1039719,1039890
chr1,1005499,1005670
chr1,1016207,1016378
chr1,1026913,1027084
chr1,1043904,1044077
chr1,1059683,1059852
chr1,1037640,1037806
chr1,1043461,1043630
chr1,1047727,1047895
chr1,1065447,1065615
chr1,1030665,1030833
chr1,998703,998872
chr1,1011516,1011685
chr1,1022228,1022397
chr1,1032969,1033138
chr1,1037196,1037365
chr1,1009671,1009841
chr1,1018320,1018490
chr1,1020387,1020557
chr1,1029051,1029221
chr1,1009231,1009399
chr1,1019946,1020114
chr1,1039277,1039445
chr1,1041349,1041517
chr1,994445,994614
chr1,1002927,1003096
chr1,1005056,1005225
chr1,1007167,1007336
chr1,1013631,1013800
chr1,1015764,1015933
chr1,1017877,1018046
chr1,1026470,1026639
chr1,1028588,1028757
chr1,1031107,1031277
chr1,1041790,1041960
chr1,1050121,1050291
chr1,1024340,1024508
chr1,1007609,1007775
chr1,1035087,1035256
chr1,1045571,1045740
chr1,1000814,1000985
chr1,996568,996737
chr1,1046009,1046176
chr1,1048154,1048319
chr1,1061539,1061708
chr1,1049520,1049678
chr1,1066218,1066385
chr1,1066658,1066829
chr1,1031278,1031440
chr1,997453,997620
chr1,1062627,1062785
chr1,991279,991445
chr1,1035551,1035709
chr1,1020558,1020720
chr1,1050563,1050730
chr1,1009842,1010005
chr1,995331,995468
chr1,1063021,1063190
chr1,1064254,1064424
chr1,1003813,1003941
chr1,1033855,1033983
chr1,1064906,1065073
chr1,1005942,1006069
chr1,1044349,1044476
chr1,1001701,1001837
chr1,1012403,1012539
chr1,1023114,1023250
chr1,1063820,1063989
chr1,999587,999714
chr1,1025227,1025354
chr1,1035961,1036097
chr1,1060974,1061141
chr1,1067348,1067516
chr1,1042231,1042387
chr1,4047167,4047332
chr1,1058229,1058392
chr1,1061352,1061519
chr1,1027355,1027495
chr1,4054873,4055042
chr1,995990,996158
chr1,1030092,1030260
chr1,999400,999567
chr1,1014517,1014648
chr1,1040160,1040301
chr1,1016650,1016786
chr1,4053152,4053318
chr1,4055121,4055291
chr1,1050376,1050543
chr1,1060124,1060283
chr1,4041244,4041411
chr1,4046872,4047039
chr1,7316878,7317045
chr1,1010276,1010402
chr1,4054915,4055084
chr1,7306616,7306785
chr1,1004484,1004652
chr1,1013059,1013227
chr1,1019373,1019541
chr1,1020995,1021125
chr1,1021656,1021824
chr1,1038080,1038238
chr1,1046447,1046605
chr1,1048931,1049099
chr1,5715618,5715787
chr1,1031714,1031853
chr1,4048434,4048600
chr1,4054200,4054365
chr1,11359296,11359131
chr1,1058736,1058903
chr1,4048831,4048998
chr1,4051595,4051762
chr1,5709083,5709250
chr1,11375868,11375701
chr1,11377933,11377766
chr1,1002356,1002523
chr1,1023769,1023936
chr1,1028018,1028185
chr1,1047121,1047288
chr1,1063296,1063461
chr1,4052854,4053023
chr1,7304073,7304242
chr1,7323823,7323992
chr1,993982,994150
chr1,998129,998297
chr1,1008658,1008826
chr1,1010932,1011100
chr1,1015191,1015359
chr1,1034515,1034683
chr1,1038721,1038889
chr1,1040773,1040941
chr1,2658728,2658894
chr1,4041824,4041990
chr1,5710447,5710613
chr1,5720606,5720771
chr1,1025897,1026066
chr1,1066470,1066637
chr1,4041595,4041760
chr1,4048725,4048893
chr1,4060992,4061162
chr1,7307177,7307345
chr1,5712145,5712314
chr1,5721591,5721751
chr1,999463,999627
chr1,4046914,4047081
chr1,4051365,4051532
chr1,5707344,5707511
chr1,7323506,7323673
chr1,1032386,1032553
chr1,1033731,1033896
chr1,4052510,4052679
chr1,7316351,7316520
chr1,7321949,7322118
chr1,11603371,11603205
chr1,11612664,11612500
chr1,1000246,1000414
chr1,1017306,1017474
chr1,1048744,1048910
chr1,1061646,1061812
chr1,5725922,5726083
chr1,998235,998410
chr1,1004590,1004765
chr1,1011348,1011516
chr1,1015297,1015472
