"Chromosome" "chromStart" "chromEnd" "Marker"
"9" "chr1" "1708265" "1708266" "M23916"
"8" "chr1" "3843152" "3843153" "M16249"
"3" "chr1" "4954889" "4954890" "M3731"
"11" "chr1" "5500683" "5500684" "M26054"
"4" "chr1" "5952570" "5952571" "M8015"
"6" "chr1" "7179903" "7179904" "M13290"
"15" "chr1" "7425652" "7425653" "M43133"
"13" "chr1" "7453495" "7453496" "M33241"
"14" "chr1" "8518523" "8518524" "M34432"
"2" "chr1" "12654381" "12654382" "M1496"
"7" "chr1" "13070176" "13070177" "M16141"
"1100" "chr1" "13077360" "13077361" "M968"
"12" "chr1" "16671837" "16671838" "M27024"
"5" "chr1" "16671923" "16671924" "M10659"
"10" "chr1" "18804660" "18804661" "M25921"
"16" "chr2" "794584" "794585" "M2436"
"31" "chr2" "1180255" "1180256" "M27441"
"36" "chr2" "1394030" "1394031" "M39339"
"28" "chr2" "1718021" "1718022" "M21718"
"27" "chr2" "2504555" "2504556" "M21126"
"42" "chr2" "3118461" "3118462" "M45347"
"37" "chr2" "5266945" "5266946" "M39777"
"20" "chr2" "5479228" "5479229" "M12171"
"38" "chr2" "6823985" "6823986" "M41441"
"26" "chr2" "6973270" "6973271" "M18305"
"32" "chr2" "8411819" "8411820" "M27920"
"22" "chr2" "10064291" "10064292" "M14198"
"43" "chr2" "10476161" "10476162" "M45542"
"21" "chr2" "10517984" "10517985" "M13558"
"23" "chr2" "11187857" "11187858" "M17245"
"40" "chr2" "11361077" "11361078" "M43736"
"35" "chr2" "12822983" "12822984" "M38252"
"1810" "chr2" "12904538" "12904539" "M4918"
"24" "chr2" "13232052" "13232053" "M17701"
"41" "chr2" "13501417" "13501418" "M44492"
"25" "chr2" "13643951" "13643952" "M17784"
"29" "chr2" "13644911" "13644912" "M24499"
"1710" "chr2" "13826174" "13826175" "M4417"
"30" "chr2" "16554065" "16554066" "M24818"
"34" "chr2" "16799909" "16799910" "M31340"
"33" "chr2" "17009411" "17009412" "M29986"
"19" "chr2" "17359121" "17359122" "M7287"
"39" "chr2" "17837293" "17837294" "M43468"
"53" "chr3" "599188" "599189" "M26907"
"58" "chr3" "602212" "602213" "M38913"
"61" "chr3" "3198434" "3198435" "M44056"
"57" "chr3" "3611937" "3611938" "M38769"
"56" "chr3" "4119738" "4119739" "M31037"
"52" "chr3" "4792490" "4792491" "M20535"
"60" "chr3" "4964402" "4964403" "M44052"
"45" "chr3" "5214921" "5214922" "M3341"
"51" "chr3" "6077144" "6077145" "M19966"
"50" "chr3" "6847516" "6847517" "M19901"
"54" "chr3" "8249449" "8249450" "M28459"
"46" "chr3" "9251886" "9251887" "M11715"
"49" "chr3" "9253752" "9253753" "M18888"
"55" "chr3" "11731720" "11731721" "M29123"
"44" "chr3" "11736935" "11736936" "M2519"
"4810" "chr3" "13772269" "13772270" "M17738"
"4710" "chr3" "15865086" "15865087" "M15870"
"59" "chr3" "16657880" "16657881" "M39236"
"76" "chr4" "1107068" "1107069" "M24232"
"64" "chr4" "1957676" "1957677" "M2371"
"83" "chr4" "2365104" "2365105" "M35063"
