Chromosome,ChromStart,ChromEnd,Band,Stain
chr1,0,19673786,NA,NA
chr2,0,18275386,NA,NA
chr3,0,17045381,NA,NA
chr4,0,17017937,NA,NA
chr5,0,16275435,NA,NA
chr6,0,15789905,NA,NA
chr7,0,15462896,NA,NA
chr8,0,15422731,NA,NA
chr9,0,15246803,NA,NA
chr10,0,15078524,NA,NA
chr11,0,14712388,NA,NA
chr12,0,14605534,NA,NA
chr13,0,14529372,NA,NA
chr14,0,13941697,NA,NA
chr15,0,13477416,NA,NA
chr16,0,12292438,NA,NA
chr17,0,12240101,NA,NA
chr18,0,11866677,NA,NA
chr19,0,10340728,NA,NA
chr20,0,9730488,NA,NA
chr21,0,9688243,NA,NA
chr22,0,9417832,NA,NA
chr23,0,8897588,NA,NA
chr24,0,8060300,NA,NA
chr25,0,7854970,NA,NA
chr26,0,7556132,NA,NA
chr27,0,7333124,NA,NA
chr28,0,5663841,NA,NA
chr29,0,2455929,NA,NA
LG1,0,1,M12995,M12995
LG1,428716,428717,M38713,M38713
LG1,850196,850197,M21661,M21661
LG1,1018615,1018616,M21364,M21364
LG1,1133266,1133267,M45315,M45315
LG1,1517565,1517566,M26139,M26139
LG1,2704643,2704644,M15151,M15151
LG1,2950081,2950082,M18510,M18510
LG1,3296784,3296785,M25438,M25438
LG1,3477173,3477174,M56,M56
LG1,3770583,3770584,M13973,M13973
LG1,4180529,4180530,M35812,M35812
LG1,4912300,4912301,M34208,M34208
LG1,5011593,5011594,M13280,M13280
LG1,5166741,5166742,M10822,M10822
LG1,5306710,5306711,M9740,M9740
LG1,5473182,5473183,M29321,M29321
LG1,5683448,5683449,M31546,M31546
LG1,6550849,6550850,M27216,M27216
LG1,7159105,7159106,M23029,M23029
LG1,7387438,7387439,M23227,M23227
LG1,8171242,8171243,M32452,M32452
LG1,8417582,8417583,M30262,M30262
LG1,8642776,8642777,M28801,M28801
LG2,0,1,M22484,M22484
LG2,340797,340798,M32661,M32661
LG2,773324,773325,M11856,M11856
LG2,1085099,1085100,M11071,M11071
LG2,1326625,1326626,M42365,M42365
LG2,2602513,2602514,M28323,M28323
LG2,3040299,3040300,M14884,M14884
LG2,3726144,3726145,M17927,M17927
LG2,3908486,3908487,M15718,M15718
LG2,4074894,4074895,M22010,M22010
LG2,4201519,4201520,M7846,M7846
LG2,4512300,4512301,M33606,M33606
LG2,4843116,4843117,M9046,M9046
LG2,5156686,5156687,M17054,M17054
LG2,5656074,5656075,M24052,M24052
LG2,5973436,5973437,M368,M368
LG2,6154272,6154273,M35981,M35981
