Start (bp),Stop (bp),Length (bp),GC content (％)
1,228448,228448,37.53
228449,243954,15506,45.93
243955,280303,36349,39.08
280304,1234159,953856,36.02
1234160,1243368,9209,46.5
1243369,1588542,345174,34.54
1588543,1625274,36732,43.06
1625275,1672145,46871,36.66
1672146,3219158,1547013,34.03
3219159,3224310,5152,24.15
3224311,3332828,108518,42.75
3332829,15662436,12329608,35.56
15662437,15681645,19209,51.06
15681646,15688081,6436,39.06
15688082,15806981,118900,31.7
15806982,15822156,15175,49.55
15822157,16246175,424019,33.99
16246176,16275435,29260,40.65
