Chromosome,ChromStart,ChromEnd,Band,Stain
LG1,0,90,M12995,M12995
LG1,1143143.15441282,1143233.15441282,M38713,M38713
LG1,2266743.56466784,2266833.56466784,M21661,M21661
LG1,2715044.8360937,2715134.8360937,M21364,M21364
LG1,3019989.924428,3020079.924428,M45315,M45315
LG1,4044334.31721632,4044424.31721632,M26139,M26139
LG1,7209655.45807928,7209745.45807928,M15151,M15151
LG1,7863910.6206435,7864000.6206435,M18510,M18510
LG1,8788122.39474062,8788212.39474062,M25438,M25438
LG1,9268466.6642176,9268556.6642176,M56,M56
LG1,10050176.9980342,10050266.9980342,M13973,M13973
LG1,11143321.0511458,11143411.0511458,M35812,M35812
LG1,13094213.5522309,13094303.5522309,M34208,M34208
LG1,13358314.2177863,13358404.2177863,M13280,M13280
LG1,13771217.8962313,13771307.8962313,M10822,M10822
LG1,14142788.3004222,14142878.3004222,M9740,M9740
LG1,14585544.6498159,14585634.6498159,M29321,M29321
LG1,15145530.6355439,15145620.6355439,M31546,M31546
LG1,17458451.3125844,17458541.3125844,M27216,M27216
LG1,19080231.1288313,19080321.1288313,M23029,M23029
LG1,19688703.559631,19688793.559631,M23227,M23227
LG1,21778376.8911074,21778466.8911074,M32452,M32452
LG1,22434834.6969708,22434924.6969708,M30262,M30262
LG1,23034980.6225544,23035070.6225544,M28801,M28801
LG2,0,90,M12578,M12578
LG2,761986.596585164,762076.596585164,M24141,M24141
LG2,1146260.9064776,1146350.9064776,M1635,M1635
LG2,1899222.08712707,1899312.08712707,M28259,M28259
LG2,2852954.72650868,2853044.72650868,M630,M630
LG2,4746475.98733318,4746565.98733318,M32984,M32984
LG2,8208404.17262504,8208494.17262504,M58,M58
LG2,9457960.66421096,9458050.66421096,M14413,M14413
LG2,9754205.79132544,9754295.79132544,M42376,M42376
LG2,10157607.1652771,10157697.1652771,M32146,M32146
LG2,10918584.8734839,10918674.8734839,M41651,M41651
LG2,14113773.2668949,14113863.2668949,M4741,M4741
LG2,19489350.948862,19489440.948862,M407,M407
LG2,46146526.9579506,46146616.9579506,M10697,M10697
LG2,46565026.1991892,46565116.1991892,M7136,M7136
LG2,47142396.302907,47142486.302907,M45532,M45532
LG2,47913879.5828056,47913969.5828056,M37257,M37257
LG2,50440167.1042964,50440257.1042964,M6468,M6468
LG2,50739115.9549686,50739205.9549686,M22466,M22466
LG2,52777776.8100366,52777866.8100366,M8973,M8973
LG2,53542191.1426534,53542281.1426534,M24161,M24161
LG2,55247818.5077912,55247908.5077912,M27950,M27950
LG2,55527914.234954,55528004.234954,M19705,M19705
LG2,55836264.8736138,55836354.8736138,M5892,M5892
LG2,56234896.682704,56234986.682704,M16579,M16579
LG2,56500772.3850586,56500862.3850586,M354,M354
LG2,57398951.2231474,57399041.2231474,M24840,M24840
LG2,57585966.0994516,57586056.0994516,M19930,M19930
LG2,58258857.528059,58258947.528059,M16484,M16484
LG2,58671941.1052888,58672031.1052888,M32980,M32980
LG2,58998204.73144,58998294.73144,M1664,M1664
LG2,60338264.1434076,60338354.1434076,M30558,M30558
LG2,60774335.865518,60774425.865518,M22287,M22287
LG2,62637818.4750152,62637908.4750152,M13558,M13558
LG2,65687227.103681,65687317.103681,M21485,M21485
LG2,65882391.0378102,65882481.0378102,M9060,M9060
LG2,66106057.7234766,66106147.7234766,M42611,M42611
LG2,66415523.3393392,66415613.3393392,M17439,M17439
LG2,66940108.7294304,66940198.7294304,M42992,M42992
LG2,67437271.7273268,67437361.7273268,M23315,M23315
LG2,67996094.8951908,67996184.8951908,M1091,M1091
LG2,68255672.8237846,68255762.8237846,M3997,M3997
LG2,68533053.8041956,68533143.8041956,M3103,M3103
LG2,68810304.5317248,68810394.5317248,M10167,M10167
LG2,69057402.5538422,69057492.5538422,M40663,M40663
LG2,69282277.9973692,69282367.9973692,M37857,M37857
LG2,69506511.9659914,69506601.9659914,M37276,M37276
LG2,70003760.2322178,70003850.2322178,M29942,M29942
LG2,70248389.2115802,70248479.2115802,M36727,M36727
LG2,70667035.1693124,70667125.1693124,M13299,M13299
LG2,71134603.7426718,71134693.7426718,M2477,M2477
LG2,71529478.9006442,71529568.9006442,M6699,M6699
LG2,72024047.8634648,72024137.8634648,M23535,M23535
LG2,73182357.2268132,73182447.2268132,M26884,M26884
LG2,73482094.3494596,73482184.3494596,M8373,M8373
LG2,73887139.327241,73887229.327241,M35654,M35654
LG2,74780303.0146796,74780393.0146796,M4260,M4260
LG2,75521666.8017804,75521756.8017804,M17222,M17222
LG2,76164670.0386722,76164760.0386722,M26344,M26344
LG2,77096389.3968588,77096479.3968588,M18993,M18993
LG2,77422441.3801924,77422531.3801924,M14997,M14997
LG2,78227661.3350456,78227751.3350456,M17937,M17937
LG2,78724058.8338386,78724148.8338386,M34114,M34114
LG2,79190191.0983814,79190281.0983814,M37873,M37873
LG2,79499676.85478,79499766.85478,M10050,M10050
LG2,79670771.471808,79670861.471808,M27834,M27834
LG2,79882415.9347302,79882505.9347302,M14139,M14139
LG2,80269658.8078454,80269748.8078454,M20998,M20998
LG2,80737531.3120662,80737621.3120662,M9225,M9225
LG2,81855170.163556,81855260.163556,M40697,M40697
LG2,82610739.7976126,82610829.7976126,M37012,M37012
LG2,82826578.5968566,82826668.5968566,M15173,M15173
LG2,84351068.8844848,84351158.8844848,M24940,M24940
LG2,84670335.3369518,84670425.3369518,M661,M661
LG2,85191837.610205,85191927.610205,M4220,M4220
