"Chromosome" "chromStart" "chromEnd" "Marker"
"1161" "LG1" "275339" "275340" "M30656"
"182" "LG2" "785917" "785918" "M12965"
"81" "LG2" "3070640" "3070641" "M31761"
"108" "LG2" "4350397" "4350398" "M9601"
"524" "LG2" "6380045" "6380046" "M33377"
"427" "LG2" "9173035" "9173036" "M23455"
"433" "LG2" "10940126" "10940127" "M42819"
"426" "LG2" "11197891" "11197892" "M21810"
"312" "LG2" "11766954" "11766955" "M36778"
"741" "LG2" "13916721" "13916722" "M18118"
"66" "LG2" "14785052" "14785053" "M5031"
"86" "LG2" "15302615" "15302616" "M40016"
"80" "LG2" "15878359" "15878360" "M30469"
"32" "LG2" "17985132" "17985133" "M27920"
"1181" "LG2" "18726476" "18726477" "M31012"
"120" "LG2" "18822608" "18822609" "M33891"
"119" "LG2" "18825756" "18825757" "M32028"
"121" "LG2" "18864517" "18864518" "M35589"
"111" "LG2" "19136933" "19136934" "M16179"
"12" "LG2" "21053529" "21053530" "M27024"
"5" "LG2" "21053615" "21053616" "M10659"
"10" "LG2" "23186352" "23186353" "M25921"
"374" "LG2" "26978409" "26978410" "M39484"
"356" "LG2" "27467035" "27467036" "M407"
"365" "LG2" "28469986" "28469987" "M21812"
"369" "LG2" "28559312" "28559313" "M29286"
"375" "LG2" "29105734" "29105735" "M40120"
"2110" "LG2" "30266486" "30266487" "M1496"
"7" "LG2" "30682281" "30682282" "M16141"
"1100" "LG2" "30689465" "30689466" "M968"
"183" "LG2" "34338120" "34338121" "M15069"
"185" "LG2" "34724762" "34724763" "M15513"
"1931" "LG2" "35011088" "35011089" "M32284"
"196" "LG2" "35143292" "35143293" "M35345"
"187" "LG2" "35538903" "35538904" "M16850"
"5061" "LG3" "284659" "284660" "M9529"
"53" "LG3" "1608776" "1608777" "M26907"
"58" "LG3" "1611800" "1611801" "M38913"
"614" "LG3" "4208022" "4208023" "M44056"
"405" "LG3" "5362944" "5362945" "M16342"
"4111" "LG3" "6268088" "6268089" "M27607"
"417" "LG3" "6447460" "6447461" "M34424"
"418" "LG3" "6448529" "6448530" "M35981"
"296" "LG4" "855916" "855917" "M10644"
"313" "LG4" "980917" "980918" "M38911"
"51" "LG4" "2526181" "2526182" "M19966"
"342" "LG4" "3983495" "3983496" "M7270"
"347" "LG4" "4123370" "4123371" "M26133"
"305" "LG4" "6587616" "6587617" "M23748"
"429" "LG4" "7920144" "7920145" "M30973"
"434" "LG4" "7975387" "7975388" "M43900"
"428" "LG4" "8167345" "8167346" "M23846"
"424" "LG4" "8202350" "8202351" "M10253"
"431" "LG4" "8660715" "8660716" "M38457"
"470" "LG4" "9389354" "9389355" "M11619"
"467" "LG4" "10312496" "10312497" "M9977"
"463" "LG4" "10530788" "10530789" "M368"
"15" "LG4" "11419061" "11419062" "M43133"
"13" "LG4" "11446904" "11446905" "M33241"
"322" "LG6" "79437" "79438" "M11723"
"320" "LG6" "378829" "378830" "M7990"
"327" "LG6" "500939" "500940" "M17048"
"333" "LG6" "1408045" "1408046" "M37837"
"328" "LG6" "1414420" "1414421" "M23134"
